tp,fp,tn,fn,precision,recall,f1_score,runtime
0,2,3,1,0.0,0.0,0.0,0.00168609619140625
0,2,3,1,0.0,0.0,0.0,0.004031181335449219
0,4,1,1,0.0,0.0,0.0,0.0024209022521972656
1,5,0,0,0.16666666666666666,1.0,0.2857142857142857,0.00393986701965332
1,2,3,0,0.3333333333333333,1.0,0.5,0.004805564880371094
1,4,1,0,0.2,1.0,0.3333333333333333,0.00135040283203125
0,5,0,1,0.0,0.0,0.0,0.001680135726928711
1,3,2,0,0.25,1.0,0.4,0.002791166305541992
0,3,2,1,0.0,0.0,0.0,0.0014369487762451172
0,3,2,1,0.0,0.0,0.0,0.0029861927032470703
0,4,1,1,0.0,0.0,0.0,0.0026552677154541016
1,1,4,0,0.5,1.0,0.6666666666666666,0.0017080307006835938
0,3,2,1,0.0,0.0,0.0,0.0027031898498535156
1,3,2,0,0.25,1.0,0.4,0.008087635040283203
0,2,3,1,0.0,0.0,0.0,0.004362344741821289
1,2,3,0,0.3333333333333333,1.0,0.5,0.0015370845794677734
1,3,2,0,0.25,1.0,0.4,0.004830360412597656
1,2,3,0,0.3333333333333333,1.0,0.5,0.002765178680419922
0,3,2,1,0.0,0.0,0.0,0.002817392349243164
0,2,3,1,0.0,0.0,0.0,0.0016891956329345703
1,2,3,0,0.3333333333333333,1.0,0.5,0.002596139907836914
1,1,4,0,0.5,1.0,0.6666666666666666,0.0013155937194824219
1,3,2,0,0.25,1.0,0.4,0.0013120174407958984
1,3,2,0,0.25,1.0,0.4,0.00377655029296875
0,1,4,1,0.0,0.0,0.0,0.002602815628051758
0,1,4,1,0.0,0.0,0.0,0.002828836441040039
0,3,2,1,0.0,0.0,0.0,0.001363515853881836
1,2,3,0,0.3333333333333333,1.0,0.5,0.0017895698547363281
0,3,2,1,0.0,0.0,0.0,0.007146596908569336
0,3,2,1,0.0,0.0,0.0,0.001538991928100586
0,3,2,1,0.0,0.0,0.0,0.002840757369995117
0,3,2,1,0.0,0.0,0.0,0.0013957023620605469
1,3,2,0,0.25,1.0,0.4,0.0051038265228271484
0,4,1,1,0.0,0.0,0.0,0.0024542808532714844
0,3,2,1,0.0,0.0,0.0,0.00368499755859375
1,4,1,0,0.2,1.0,0.3333333333333333,0.0014362335205078125
0,2,3,1,0.0,0.0,0.0,0.0016837120056152344
0,3,2,1,0.0,0.0,0.0,0.001672983169555664
0,3,2,1,0.0,0.0,0.0,0.0013608932495117188
1,3,2,0,0.25,1.0,0.4,0.0014486312866210938
0,2,3,1,0.0,0.0,0.0,0.0013959407806396484
0,1,4,1,0.0,0.0,0.0,0.0014352798461914062
0,2,3,1,0.0,0.0,0.0,0.0017180442810058594
1,2,3,0,0.3333333333333333,1.0,0.5,0.001459360122680664
0,4,1,1,0.0,0.0,0.0,0.0026667118072509766
0,4,1,1,0.0,0.0,0.0,0.00127410888671875
0,4,1,1,0.0,0.0,0.0,0.0027000904083251953
1,2,3,0,0.3333333333333333,1.0,0.5,0.0016968250274658203
1,1,4,0,0.5,1.0,0.6666666666666666,0.0024323463439941406
0,1,4,1,0.0,0.0,0.0,0.0036423206329345703
