tp,fp,tn,fn,precision,recall,f1_score,runtime,duration
1,0,5,0,1.0,1.0,1.0,37.50564908981323,10.0
1,0,5,0,1.0,1.0,1.0,38.61638069152832,50.0
0,0,5,1,0,0.0,0.0,38.10235047340393,30.0
1,2,3,0,0.3333333333333333,1.0,0.5,38.84490656852722,9.9
0,1,4,1,0.0,0.0,0.0,38.359721422195435,50.0
0,2,3,1,0.0,0.0,0.0,37.80580544471741,10.0
1,0,5,0,1.0,1.0,1.0,37.57308530807495,29.900000000000002
0,1,4,1,0.0,0.0,0.0,38.416003704071045,19.900000000000002
1,1,4,0,0.5,1.0,0.6666666666666666,39.138479709625244,29.900000000000002
1,1,4,0,0.5,1.0,0.6666666666666666,38.60699462890625,29.900000000000002
1,3,2,0,0.25,1.0,0.4,37.471097469329834,10.0
0,1,4,1,0.0,0.0,0.0,39.36235022544861,9.9
1,0,5,0,1.0,1.0,1.0,38.75522470474243,19.900000000000002
0,0,5,1,0,0.0,0.0,39.08763647079468,9.9
1,1,4,0,0.5,1.0,0.6666666666666666,38.592602014541626,19.900000000000002
0,0,5,1,0,0.0,0.0,38.25057935714722,19.900000000000002
0,2,3,1,0.0,0.0,0.0,39.085585594177246,9.9
0,0,5,1,0,0.0,0.0,38.28942370414734,19.900000000000002
0,1,4,1,0.0,0.0,0.0,38.15208196640015,69.9
1,1,4,0,0.5,1.0,0.6666666666666666,39.04341387748718,40.0
1,2,3,0,0.3333333333333333,1.0,0.5,38.458120584487915,10.0
0,1,4,1,0.0,0.0,0.0,38.3206090927124,39.900000000000006
1,1,4,0,0.5,1.0,0.6666666666666666,37.24157190322876,19.900000000000002
0,1,4,1,0.0,0.0,0.0,38.617213010787964,19.900000000000002
1,1,4,0,0.5,1.0,0.6666666666666666,38.89330554008484,9.9
0,1,4,1,0.0,0.0,0.0,37.75652480125427,19.900000000000002
0,0,5,1,0,0.0,0.0,38.90455889701843,9.9
0,1,4,1,0.0,0.0,0.0,39.18215560913086,9.9
0,1,4,1,0.0,0.0,0.0,39.000980854034424,29.900000000000002
1,2,3,0,0.3333333333333333,1.0,0.5,38.13296175003052,20.0
0,0,5,1,0,0.0,0.0,38.75505042076111,19.900000000000002
0,0,5,1,0,0.0,0.0,38.15031051635742,10.0
0,3,2,1,0.0,0.0,0.0,37.66626024246216,10.0
0,1,4,1,0.0,0.0,0.0,39.39319968223572,60.0
0,2,3,1,0.0,0.0,0.0,39.00610089302063,9.9
0,0,5,1,0,0.0,0.0,37.79633951187134,19.900000000000002
1,2,3,0,0.3333333333333333,1.0,0.5,38.15935134887695,9.9
0,1,4,1,0.0,0.0,0.0,38.04840970039368,39.900000000000006
1,2,3,0,0.3333333333333333,1.0,0.5,39.66207957267761,19.900000000000002
0,0,5,1,0,0.0,0.0,39.3162522315979,30.0
0,1,4,1,0.0,0.0,0.0,40.20774030685425,9.9
0,1,4,1,0.0,0.0,0.0,39.2484815120697,9.9
0,3,2,1,0.0,0.0,0.0,38.707568407058716,9.9
1,2,3,0,0.3333333333333333,1.0,0.5,39.019694328308105,9.9
0,2,3,1,0.0,0.0,0.0,37.20552086830139,10.0
1,3,2,0,0.25,1.0,0.4,39.094465494155884,9.9
0,4,1,1,0.0,0.0,0.0,38.61058187484741,9.9
1,1,4,0,0.5,1.0,0.6666666666666666,39.3224720954895,9.9
1,1,4,0,0.5,1.0,0.6666666666666666,38.339067697525024,9.9
0,1,4,1,0.0,0.0,0.0,38.148523569107056,19.900000000000002
0,0,5,1,0,0.0,0.0,38.407809019088745,10.0
0,2,3,1,0.0,0.0,0.0,37.71862196922302,20.0
1,2,3,0,0.3333333333333333,1.0,0.5,38.416709899902344,9.9
0,0,5,1,0,0.0,0.0,39.02612900733948,19.900000000000002
0,1,4,1,0.0,0.0,0.0,38.7516610622406,30.0
0,3,2,1,0.0,0.0,0.0,37.746849060058594,19.900000000000002
0,2,3,1,0.0,0.0,0.0,38.685041189193726,9.9
0,0,5,1,0,0.0,0.0,39.9731068611145,29.900000000000002
0,0,5,1,0,0.0,0.0,38.40770602226257,9.9
1,1,4,0,0.5,1.0,0.6666666666666666,38.36329984664917,10.0
1,0,5,0,1.0,1.0,1.0,37.66531538963318,10.0
1,1,4,0,0.5,1.0,0.6666666666666666,38.56850862503052,9.9
1,1,4,0,0.5,1.0,0.6666666666666666,40.40992212295532,20.0
0,0,5,1,0,0.0,0.0,37.99897217750549,49.900000000000006
0,0,5,1,0,0.0,0.0,38.45895981788635,79.9
1,3,2,0,0.25,1.0,0.4,39.10888624191284,10.0
0,0,5,1,0,0.0,0.0,39.07703113555908,40.0
0,1,4,1,0.0,0.0,0.0,39.55973267555237,19.900000000000002
0,1,4,1,0.0,0.0,0.0,38.296278953552246,9.9
0,1,4,1,0.0,0.0,0.0,37.81979012489319,10.0
0,0,5,1,0,0.0,0.0,37.40229249000549,59.900000000000006
1,0,5,0,1.0,1.0,1.0,38.084933042526245,19.900000000000002
0,2,3,1,0.0,0.0,0.0,37.865649700164795,9.9
0,1,4,1,0.0,0.0,0.0,39.10060453414917,10.0
0,0,5,1,0,0.0,0.0,38.933111906051636,10.0
0,3,2,1,0.0,0.0,0.0,38.12809753417969,10.0
0,1,4,1,0.0,0.0,0.0,39.48959469795227,9.9
1,1,4,0,0.5,1.0,0.6666666666666666,38.49888873100281,20.0
0,0,5,1,0,0.0,0.0,37.96059584617615,29.900000000000002
0,0,5,1,0,0.0,0.0,38.87207531929016,79.9
0,0,5,1,0,0.0,0.0,38.27243447303772,9.9
1,2,3,0,0.3333333333333333,1.0,0.5,39.241217613220215,10.0
1,1,4,0,0.5,1.0,0.6666666666666666,38.15068244934082,20.0
0,1,4,1,0.0,0.0,0.0,39.20563054084778,9.9
1,2,3,0,0.3333333333333333,1.0,0.5,38.410462379455566,9.9
0,2,3,1,0.0,0.0,0.0,39.102383852005005,39.900000000000006
0,1,4,1,0.0,0.0,0.0,37.24229693412781,20.0
1,0,5,0,1.0,1.0,1.0,38.915279388427734,10.0
0,1,4,1,0.0,0.0,0.0,38.81917071342468,39.900000000000006
1,1,4,0,0.5,1.0,0.6666666666666666,38.50392723083496,70.0
0,0,5,1,0,0.0,0.0,38.34142327308655,79.9
0,0,5,1,0,0.0,0.0,38.448827028274536,19.900000000000002
0,2,3,1,0.0,0.0,0.0,40.150145292282104,19.900000000000002
0,1,4,1,0.0,0.0,0.0,38.131224155426025,30.0
0,0,5,1,0,0.0,0.0,39.63490915298462,9.9
1,2,3,0,0.3333333333333333,1.0,0.5,39.50287699699402,59.900000000000006
0,1,4,1,0.0,0.0,0.0,37.75819706916809,10.0
1,1,4,0,0.5,1.0,0.6666666666666666,41.15729641914368,29.900000000000002
1,2,3,0,0.3333333333333333,1.0,0.5,37.564820528030396,29.900000000000002
1,1,4,0,0.5,1.0,0.6666666666666666,37.89372801780701,9.9
0,0,5,1,0,0.0,0.0,38.41604971885681,29.900000000000002
0,1,4,1,0.0,0.0,0.0,38.55176377296448,29.900000000000002
0,4,1,1,0.0,0.0,0.0,37.29887080192566,9.9
0,1,4,1,0.0,0.0,0.0,37.623106479644775,9.9
0,0,5,1,0,0.0,0.0,39.17172050476074,10.0
0,2,3,1,0.0,0.0,0.0,38.438799142837524,9.9
1,0,5,0,1.0,1.0,1.0,39.93683123588562,20.0
1,0,5,0,1.0,1.0,1.0,37.62403702735901,9.9
0,1,4,1,0.0,0.0,0.0,37.913840532302856,9.9
0,1,4,1,0.0,0.0,0.0,38.09819197654724,9.9
1,1,4,0,0.5,1.0,0.6666666666666666,39.22656226158142,9.9
0,1,4,1,0.0,0.0,0.0,37.976476192474365,9.9
0,0,5,1,0,0.0,0.0,41.32369780540466,9.9
0,2,3,1,0.0,0.0,0.0,39.36703181266785,9.9
0,1,4,1,0.0,0.0,0.0,39.46378016471863,20.0
0,0,5,1,0,0.0,0.0,38.052244901657104,10.0
1,2,3,0,0.3333333333333333,1.0,0.5,39.844337701797485,9.9
0,1,4,1,0.0,0.0,0.0,37.89899969100952,9.9
0,1,4,1,0.0,0.0,0.0,38.138177156448364,19.900000000000002
1,0,5,0,1.0,1.0,1.0,38.841962575912476,59.900000000000006
0,0,5,1,0,0.0,0.0,38.12950611114502,29.900000000000002
1,0,5,0,1.0,1.0,1.0,39.632760763168335,19.900000000000002
0,1,4,1,0.0,0.0,0.0,37.89433765411377,9.9
0,0,5,1,0,0.0,0.0,39.55948328971863,19.900000000000002
0,0,5,1,0,0.0,0.0,37.702683448791504,29.900000000000002
0,0,5,1,0,0.0,0.0,38.93599534034729,29.900000000000002
0,0,5,1,0,0.0,0.0,37.635581731796265,40.0
0,1,4,1,0.0,0.0,0.0,38.03692078590393,9.9
0,1,4,1,0.0,0.0,0.0,39.61076593399048,9.9
0,2,3,1,0.0,0.0,0.0,38.17904615402222,9.9
0,0,5,1,0,0.0,0.0,38.40316867828369,50.0
0,0,5,1,0,0.0,0.0,39.17464065551758,20.0
0,1,4,1,0.0,0.0,0.0,38.35737633705139,9.9
1,0,5,0,1.0,1.0,1.0,39.27239012718201,20.0
0,1,4,1,0.0,0.0,0.0,37.364927768707275,9.9
0,0,5,1,0,0.0,0.0,38.01204705238342,39.900000000000006
0,0,5,1,0,0.0,0.0,37.787596225738525,29.900000000000002
0,0,5,1,0,0.0,0.0,39.67683410644531,9.9
0,2,3,1,0.0,0.0,0.0,38.42221713066101,9.9
0,1,4,1,0.0,0.0,0.0,39.63768005371094,9.9
0,0,5,1,0,0.0,0.0,39.809837102890015,20.0
0,1,4,1,0.0,0.0,0.0,37.742149114608765,19.900000000000002
0,0,5,1,0,0.0,0.0,38.384732246398926,10.0
0,1,4,1,0.0,0.0,0.0,39.502851247787476,19.900000000000002
1,2,3,0,0.3333333333333333,1.0,0.5,38.84211492538452,9.9
1,1,4,0,0.5,1.0,0.6666666666666666,38.57480502128601,9.9
0,0,5,1,0,0.0,0.0,39.5615873336792,10.0
0,2,3,1,0.0,0.0,0.0,37.3981728553772,9.9
0,2,3,1,0.0,0.0,0.0,39.9046356678009,10.0
1,2,3,0,0.3333333333333333,1.0,0.5,37.79926943778992,9.9
1,1,4,0,0.5,1.0,0.6666666666666666,37.602181911468506,10.0
0,1,4,1,0.0,0.0,0.0,39.321075677871704,39.900000000000006
0,1,4,1,0.0,0.0,0.0,38.65179800987244,9.9
0,2,3,1,0.0,0.0,0.0,38.15164089202881,10.0
1,1,4,0,0.5,1.0,0.6666666666666666,38.22371459007263,50.0
0,1,4,1,0.0,0.0,0.0,37.73041319847107,9.9
0,0,5,1,0,0.0,0.0,38.6611385345459,9.9
1,0,5,0,1.0,1.0,1.0,38.72761368751526,9.9
1,0,5,0,1.0,1.0,1.0,38.17401957511902,9.9
0,0,5,1,0,0.0,0.0,37.77593994140625,9.9
0,0,5,1,0,0.0,0.0,38.52765464782715,29.900000000000002
0,0,5,1,0,0.0,0.0,39.61284565925598,29.900000000000002
0,2,3,1,0.0,0.0,0.0,40.0253963470459,9.9
0,1,4,1,0.0,0.0,0.0,39.08600425720215,39.900000000000006
0,1,4,1,0.0,0.0,0.0,39.36205840110779,19.900000000000002
1,2,3,0,0.3333333333333333,1.0,0.5,39.12679314613342,10.0
0,1,4,1,0.0,0.0,0.0,38.0945942401886,9.9
0,0,5,1,0,0.0,0.0,38.42869448661804,10.0
0,2,3,1,0.0,0.0,0.0,38.654179096221924,9.9
0,2,3,1,0.0,0.0,0.0,38.54676580429077,19.900000000000002
0,1,4,1,0.0,0.0,0.0,38.07498574256897,10.0
0,1,4,1,0.0,0.0,0.0,39.055341720581055,40.0
0,1,4,1,0.0,0.0,0.0,39.25444054603577,19.900000000000002
0,0,5,1,0,0.0,0.0,37.70069074630737,29.900000000000002
0,2,3,1,0.0,0.0,0.0,38.767327070236206,10.0
0,1,4,1,0.0,0.0,0.0,39.51369071006775,10.0
1,2,3,0,0.3333333333333333,1.0,0.5,38.902724742889404,9.9
1,0,5,0,1.0,1.0,1.0,39.43696618080139,30.0
0,1,4,1,0.0,0.0,0.0,38.06208848953247,19.900000000000002
1,0,5,0,1.0,1.0,1.0,37.93779754638672,10.0
1,1,4,0,0.5,1.0,0.6666666666666666,38.682966470718384,29.900000000000002
0,1,4,1,0.0,0.0,0.0,37.72562861442566,29.900000000000002
0,0,5,1,0,0.0,0.0,39.72693872451782,9.9
0,0,5,1,0,0.0,0.0,37.48185658454895,9.9
1,0,5,0,1.0,1.0,1.0,37.58023428916931,20.0
0,0,5,1,0,0.0,0.0,39.6534218788147,9.9
0,1,4,1,0.0,0.0,0.0,39.379560470581055,10.0
1,0,5,0,1.0,1.0,1.0,39.90950322151184,20.0
1,0,5,0,1.0,1.0,1.0,40.04114508628845,9.9
0,0,5,1,0,0.0,0.0,38.12949085235596,29.900000000000002
0,3,2,1,0.0,0.0,0.0,38.632591009140015,10.0
0,0,5,1,0,0.0,0.0,38.90053129196167,29.900000000000002
0,2,3,1,0.0,0.0,0.0,38.829092264175415,19.900000000000002
0,2,3,1,0.0,0.0,0.0,39.464115381240845,9.9
0,2,3,1,0.0,0.0,0.0,37.74404335021973,9.9
1,0,5,0,1.0,1.0,1.0,40.63000273704529,29.900000000000002
0,1,4,1,0.0,0.0,0.0,40.05707550048828,19.900000000000002
0,1,4,1,0.0,0.0,0.0,37.30026435852051,10.0
0,2,3,1,0.0,0.0,0.0,39.438870429992676,10.0
1,1,4,0,0.5,1.0,0.6666666666666666,38.561344146728516,9.9
1,2,3,0,0.3333333333333333,1.0,0.5,40.04832649230957,9.9
1,2,3,0,0.3333333333333333,1.0,0.5,38.2082085609436,19.900000000000002
0,1,4,1,0.0,0.0,0.0,37.6050591468811,30.0
0,2,3,1,0.0,0.0,0.0,40.3279914855957,29.900000000000002
0,1,4,1,0.0,0.0,0.0,39.25304627418518,39.900000000000006
0,2,3,1,0.0,0.0,0.0,38.90189480781555,9.9
0,1,4,1,0.0,0.0,0.0,39.71277475357056,30.0
0,0,5,1,0,0.0,0.0,38.995877742767334,20.0
0,2,3,1,0.0,0.0,0.0,37.65748572349548,40.0
0,1,4,1,0.0,0.0,0.0,39.99542808532715,9.9
1,2,3,0,0.3333333333333333,1.0,0.5,39.50077152252197,9.9
0,0,5,1,0,0.0,0.0,38.03502798080444,10.0
1,0,5,0,1.0,1.0,1.0,39.97592329978943,90.0
0,0,5,1,0,0.0,0.0,38.34793996810913,10.0
0,1,4,1,0.0,0.0,0.0,39.26367735862732,9.9
0,1,4,1,0.0,0.0,0.0,39.00161790847778,9.9
1,2,3,0,0.3333333333333333,1.0,0.5,38.92055583000183,10.0
0,2,3,1,0.0,0.0,0.0,39.21918749809265,10.0
0,0,5,1,0,0.0,0.0,38.543166160583496,9.9
